symbol,Reference,species,m,gene_name,ensembl,models,Layer1,Layer2,Layer3,Layer4,Layer5,Layer6,WM,p_value,fdr,t_stat,log_fc,rank,mean_expr,best_gene_m,best_gene_name,best_gene_ensembl,best_gene_p_value,best_gene_fdr,best_gene_t_stat,best_gene_log_fc,best_gene_mean_expr
Ctgf,Zeng,MH,7750,CTGF,ENSG00000118523,Layer6+WM,0,0,0,0,0,1,1,9.37E-28,2.09E-23,17.01205069,1.952739147,1,5.641160131,7750,CTGF,ENSG00000118523,9.37E-28,2.09E-23,17.01205069,1.952739147,5.641160131
Lmo4,Molyneaux,MH,982,LMO4,ENSG00000143013,Layer2+Layer3+Layer4+Layer5+Layer6,0,1,1,1,1,1,0,9.41E-23,1.05E-19,13.96912686,1.008449946,20,10.08056472,18436,GFAP,ENSG00000131095,2.42E-29,5.41E-25,-18.07550423,-2.475416305,10.45267203
Etv1,Zeng,MH,8095,ETV1,ENSG00000006468,Layer5+Layer6,0,0,0,0,1,1,0,1.30E-22,2.91E-18,13.87646383,1.220289321,1,6.076554195,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Pcp4,Molyneaux,MH,22225,PCP4,ENSG00000183036,Layer5,0,0,0,0,1,0,0,1.81E-19,4.05E-15,12.10214777,1.875983047,1,8.23855287,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Cxcl14,Zeng,MH,6435,CXCL14,ENSG00000145824,Layer1+Layer2,1,1,0,0,0,0,0,5.71E-19,3.19E-15,11.82910187,1.610844694,4,8.651743835,7564,CNR1,ENSG00000118432,9.30E-24,2.08E-19,14.54727882,1.577708606,6.997688736
Ntng2,Zeng,MH,11252,NTNG2,ENSG00000196358,Layer5+Layer6,0,0,0,0,1,1,0,5.13E-18,1.91E-14,11.31255561,1.178605571,6,5.983672883,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Nr4a2,Zeng,MH,3178,NR4A2,ENSG00000153234,Layer6+WM,0,0,0,0,0,1,1,2.64E-16,1.18E-13,10.39768115,2.011237154,50,4.882437024,7750,CTGF,ENSG00000118523,9.37E-28,2.09E-23,17.01205069,1.952739147,5.641160131
Cux2,Zeng+Molyneaux,MH,14444,CUX2,ENSG00000111249,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,2.65E-15,8.46E-12,9.87019864,2.074871589,7,5.581757277,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Reln,Zeng+Molyneaux,MH,8638,RELN,ENSG00000189056,Layer1,1,0,0,0,0,0,0,7.94E-15,9.33E-12,9.62252324,3.313425009,19,4.919252424,17246,MT1G,ENSG00000125144,3.16E-23,7.06E-19,14.2364432,1.748449127,7.826740352
Calb1,Zeng,MH,10184,CALB1,ENSG00000104327,Layer2+Layer3,0,1,1,0,0,0,0,1.54E-14,3.86E-11,9.470477517,2.045015838,8,5.838031261,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
B3galt2,Zeng,MH,1809,B3GALT2,ENSG00000162630,Layer5+Layer6,0,0,0,0,1,1,0,1.76E-13,1.97E-10,8.92075866,1.311801013,20,6.599641986,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Cbln2,Zeng,MH,19327,CBLN2,ENSG00000141668,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,3.63E-13,9.02E-10,8.756936619,0.849235306,9,6.946327731,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Rxfp1,Zeng,MH,5706,RXFP1,ENSG00000171509,Layer5+Layer6,0,0,0,0,1,1,0,5.53E-13,5.37E-10,8.662525498,1.820542431,23,5.256375634,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Cdh24,Zeng,MH,15160,CDH24,ENSG00000139880,Layer6+WM,0,0,0,0,0,1,1,5.98E-13,6.36E-11,8.644166307,1.48598015,210,3.795750925,7750,CTGF,ENSG00000118523,9.37E-28,2.09E-23,17.01205069,1.952739147,5.641160131
Gabra5,Zeng,MH,15864,GABRA5,ENSG00000186297,Layer5+Layer6,0,0,0,0,1,1,0,1.17E-12,1.00E-09,8.493756525,0.790619866,26,7.281153608,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Cartpt,Molyneaux,MH,6121,CARTPT,ENSG00000164326,Layer3,0,0,1,0,0,0,0,2.07E-12,4.63E-08,8.363742991,2.264233817,1,6.426823464,6121,CARTPT,ENSG00000164326,2.07E-12,4.63E-08,8.363742991,2.264233817,6.426823464
Oprk1,Zeng,H,10007,OPRK1,ENSG00000082556,Layer6,0,0,0,0,0,1,0,2.97E-12,9.48E-09,8.282525813,1.86671771,7,3.457673478,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Rprm,Zeng,MH,3175,RPRM,ENSG00000177519,Layer5+Layer6,0,0,0,0,1,1,0,3.69E-12,2.66E-09,8.23465396,1.408638961,31,5.046819218,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Cacna1e,Zeng,H,1758,CACNA1E,ENSG00000198216,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,5.21E-12,7.75E-09,8.156455078,0.651596603,15,6.482982396,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Fezf2,Molyneaux,MH,4268,FEZF2,ENSG00000153266,Layer5+Layer6,0,0,0,0,1,1,0,5.50E-12,3.51E-09,8.144296673,1.977457809,35,4.615502587,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Htr2c,Zeng,H,9478,HTR2C,ENSG00000147246,Layer5,0,0,0,0,1,0,0,1.01E-11,3.76E-08,8.006514546,2.167454777,6,2.429592161,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Pde1a,Zeng,MH,3346,PDE1A,ENSG00000115252,Layer4+Layer5+Layer6,0,0,0,1,1,1,0,1.40E-11,3.20E-09,7.933246543,0.694278578,98,6.720999909,13893,TUBA1B,ENSG00000123416,1.23E-18,1.54E-14,11.65083162,0.617837628,12.14362755
Vat1l,Zeng,MH,17496,VAT1L,ENSG00000171724,Layer5,0,0,0,0,1,0,0,1.91E-11,6.09E-08,7.862879972,1.473146385,7,5.774619139,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Gsg1L,Zeng,MH,17003,GSG1L,ENSG00000169181,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.16E-10,9.55E-08,7.454666114,0.87076307,27,4.989432484,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
C1ql2,Zeng,H,3040,C1QL2,ENSG00000144119,Layer2,0,1,0,0,0,0,0,1.38E-10,2.15E-07,7.413754068,2.65914671,14,5.401038195,15403,DACT1,ENSG00000165617,4.68E-15,1.04E-10,9.74141057,2.160282047,4.030209593
mef2c,Molyneaux,MH,6227,MEF2C,ENSG00000081189,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,2.41E-10,5.97E-08,7.287133537,0.616205935,90,9.278114482,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Etv1,Molyneaux,MH,8095,ETV1,ENSG00000006468,Layer5,0,0,0,0,1,0,0,5.79E-10,1.08E-06,7.086524278,1.155235097,12,6.076554195,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Bhlhe22,Molyneaux,MH,10061,BHLHE22,ENSG00000180828,Layer2+Layer3+Layer4+Layer5,0,1,1,1,1,0,0,1.15E-09,4.26E-08,6.930237319,1.563982767,601,3.732510313,16941,CRYM,ENSG00000103316,1.48E-24,3.31E-20,15.0262641,0.942930518,8.640983059
Sema3e,Molyneaux,MH,8434,SEMA3E,ENSG00000170381,Layer5+Layer6,0,0,0,0,1,1,0,1.62E-09,4.70E-07,6.850373847,2.212342814,77,4.5333594,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Trib2,Zeng,MH,2333,TRIB2,ENSG00000071575,Layer4+Layer5,0,0,0,1,1,0,0,1.98E-09,4.74E-07,6.803981847,0.583260983,93,6.045254681,19721,PTPRT,ENSG00000196090,1.46E-18,3.25E-14,11.60892309,0.942286089,6.441315019
Kcnip2,Zeng,MH,13247,KCNIP2,ENSG00000120049,Layer2+Layer3,0,1,1,0,0,0,0,3.46E-09,5.73E-07,6.674044434,0.950220725,135,6.454059472,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
kitlg,Molyneaux,MH,14273,KITLG,ENSG00000049130,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,3.89E-09,4.82E-07,6.647341767,0.724588729,180,5.462805685,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Slitrk1,Molyneaux,MH,14969,SLITRK1,ENSG00000178235,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,4.54E-09,1.59E-06,6.611296253,0.533262006,63,6.661500381,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Scn3b,Zeng,H,12519,SCN3B,ENSG00000166257,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.04E-08,2.94E-06,6.418056301,0.441519955,79,8.906394707,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Kcnk2,Zeng,MH,1997,KCNK2,ENSG00000082482,Layer5+Layer6,0,0,0,0,1,1,0,1.05E-08,2.19E-06,6.416431036,1.437960475,107,3.461970998,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Synpr,Zeng,H,4271,SYNPR,ENSG00000163630,Layer6,0,0,0,0,0,1,0,1.23E-08,9.49E-06,6.37823834,0.718991769,29,8.062586165,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Cck,Zeng,MH,3990,CCK,ENSG00000187094,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,1.37E-08,3.68E-06,6.35387273,0.555512646,83,11.70606098,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Fam3c,Zeng,MH,8712,FAM3C,ENSG00000196937,Layer2+Layer4+Layer5,0,1,0,1,1,0,0,2.43E-08,2.59E-05,6.218473024,0.516128123,21,8.38240342,22225,PCP4,ENSG00000183036,1.92E-12,4.29E-08,8.381468904,1.181177398,8.23855287
Anxa1,Zeng,H,10823,ANXA1,ENSG00000135046,Layer6,0,0,0,0,0,1,0,2.43E-08,1.70E-05,6.218007588,0.982323102,31,5.17482814,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Fxyd6,Zeng,MH,12440,FXYD6,ENSG00000137726,Layer2+Layer3+Layer5+Layer6,0,1,1,0,1,1,0,9.20E-08,7.56E-06,5.902141103,0.300736155,271,10.09738153,16123,ARPP19,ENSG00000128989,1.69E-15,3.77E-11,9.975362725,0.474467146,10.72037601
Rasgrf2,Zeng,MH,6199,RASGRF2,ENSG00000113319,Layer2,0,1,0,0,0,0,0,1.05E-07,3.22E-05,5.869480303,1.166760136,73,7.066857688,15403,DACT1,ENSG00000165617,4.68E-15,1.04E-10,9.74141057,2.160282047,4.030209593
Dkk3,Molyneaux,MH,11584,DKK3,ENSG00000050165,Layer5+Layer6,0,0,0,0,1,1,0,2.41E-07,3.10E-05,5.668938,0.343307656,174,10.20160791,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Rorb,Zeng+Molyneaux,MH,10825,RORB,ENSG00000198963,Layer4,0,0,0,1,0,0,0,2.91E-07,0.000306825,5.622906532,1.407518292,21,6.299587461,13544,VAMP1,ENSG00000139190,2.50E-12,4.94E-08,8.321384077,1.271969521,7.017662699
Tle1,Molyneaux,MH,10844,TLE1,ENSG00000196781,Layer2+Layer3,0,1,1,0,0,0,0,3.76E-07,2.70E-05,5.560005654,0.440158672,311,6.131572027,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
gpr6,Molyneaux,MH,7651,GPR6,ENSG00000146360,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,3.95E-07,1.50E-05,5.548261025,1.41521082,586,3.276025106,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Tox,Zeng,MH,10036,TOX,ENSG00000198846,Layer5+Layer6,0,0,0,0,1,1,0,4.25E-07,4.77E-05,5.530551663,0.922694268,199,5.510835068,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Pcdh17,Zeng,H,14929,PCDH17,ENSG00000118946,Layer6,0,0,0,0,0,1,0,4.55E-07,0.000166158,5.513685049,0.957399181,61,6.422381626,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Pou3F1,Molyneaux,MH,590,POU3F1,ENSG00000185668,Layer2+Layer3+Layer4+Layer5,0,1,1,1,1,0,0,1.03E-06,1.25E-05,5.310499805,1.253040579,1853,1.840882308,16941,CRYM,ENSG00000103316,1.48E-24,3.31E-20,15.0262641,0.942930518,8.640983059
Bend5,Zeng,MH,754,BEND5,ENSG00000162373,Layer3+Layer5,0,0,1,0,1,0,0,1.25E-06,0.003102264,5.262904568,0.745562961,9,6.064867119,13092,SNCG,ENSG00000173267,4.19E-08,0.000935532,6.089484053,0.803594558,9.286141931
unc5d,Molyneaux,MH,9918,UNC5D,ENSG00000156687,Layer2+Layer3+Layer4,0,1,1,1,0,0,0,4.63E-06,9.93E-05,4.930444874,0.643028779,1042,5.218464344,8315,VSTM2A,ENSG00000170419,1.03E-17,2.30E-13,11.14812183,1.008219378,7.439451534
Atp2b4,Zeng,MH,1884,ATP2B4,ENSG00000058668,Layer2+Layer5+Layer6,0,1,0,0,1,1,0,8.51E-06,0.000597537,4.773000853,0.335730917,318,7.90133537,12914,PHYHIPL,ENSG00000165443,6.51E-18,1.45E-13,11.25728032,0.460388063,8.683776893
Cnr1,Zeng,MH,7564,CNR1,ENSG00000118432,Layer1+Layer2+Layer6,1,1,0,0,0,1,0,1.15E-05,0.001872662,4.694068818,0.725879498,137,6.997688736,19322,DOK6,ENSG00000206052,4.91E-17,6.56E-13,10.78603136,0.79659681,6.665291369
Pcp4,Zeng,MH,22225,PCP4,ENSG00000183036,Layer3+Layer4+Layer5+Layer6,0,0,1,1,1,1,0,1.15E-05,0.000118798,4.693788774,0.834772862,2166,8.23855287,6256,PCSK1,ENSG00000175426,1.15E-24,1.51E-20,15.09912128,1.60989033,6.337821381
Tle4,Zeng,MH,10842,TLE4,ENSG00000106829,Layer6,0,0,0,0,0,1,0,1.48E-05,0.002894525,4.627497779,1.045224805,114,6.011312689,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Crim1,Molyneaux,MH,2498,CRIM1,ENSG00000150938,Layer5,0,0,0,0,1,0,0,2.52E-05,0.003451949,4.484950456,0.469750359,163,6.778855549,22225,PCP4,ENSG00000183036,1.81E-19,4.05E-15,12.10214777,1.875983047,8.23855287
Cpne7,Zeng,MH,17634,CPNE7,ENSG00000178773,Layer5+Layer6,0,0,0,0,1,1,0,3.00E-05,0.00137765,4.438065904,0.60520216,485,5.900918848,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Tle4,Molyneaux,MH,10842,TLE4,ENSG00000106829,Layer5+Layer6,0,0,0,0,1,1,0,5.23E-05,0.002089354,4.285974537,0.772816932,559,6.011312689,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Penk,Zeng,MH,10027,PENK,ENSG00000181195,Layer2+Layer3+Layer6,0,1,1,0,0,1,0,5.27E-05,0.002082079,4.283962464,1.285665916,565,4.324027093,19400,FKBP1A,ENSG00000088832,3.75E-18,8.37E-14,11.38558983,0.676659552,9.159392026
Syt6,Zeng,MH,1187,SYT6,ENSG00000134207,Layer6,0,0,0,0,0,1,0,0.000114407,0.012462585,4.066983155,1.112335914,205,2.662053346,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Th,Zeng,MH,11472,TH,ENSG00000180176,Layer6,0,0,0,0,0,1,0,0.000152564,0.015485966,3.98487136,0.982124632,220,0.767626416,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
Bcl11B,Molyneaux,MH,15716,BCL11B,ENSG00000127152,Layer5+Layer6,0,0,0,0,1,1,0,0.000178217,0.005344406,3.940231073,0.660727285,744,4.67006681,8095,ETV1,ENSG00000006468,1.30E-22,2.91E-18,13.87646383,1.220289321,6.076554195
Satb2,Molyneaux,MH,3418,SATB2,ENSG00000119042,Layer2+Layer3,0,1,1,0,0,0,0,0.00030043,0.004610922,3.787649777,0.41334246,1455,7.176008476,6121,CARTPT,ENSG00000164326,5.55E-19,1.24E-14,11.8347748,2.183571906,6.426823464
Foxp2,Zeng+Molyneaux,MH,8689,FOXP2,ENSG00000128573,Layer6,0,0,0,0,0,1,0,0.000383113,0.029198984,3.715449904,1.289542074,293,4.025682659,16311,ISLR,ENSG00000129009,7.84E-15,1.75E-10,9.623818433,1.583994202,5.623719162
